data_venda,tipo_cliente,produto,quantidade,preco_unitario,receita
2025-04-26 17:57:15.748149,B2C,Notebook,3,1506.48,4519.4400000000005
2024-08-23 17:57:15.748149,B2B,Notebook,9,1506.48,13558.32
2024-11-09 17:57:15.748149,B2C,Smartphone,7,1506.48,10545.36
2025-04-22 17:57:15.748149,B2C,Monitor,7,1506.48,10545.36
2025-05-27 17:57:15.748149,B2C,Teclado,6,1506.48,9038.880000000001
2025-01-30 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2025-07-17 17:57:15.748149,B2C,Mouse,4,1506.48,6025.92
2025-04-26 17:57:15.748149,B2B,Teclado,8,1506.48,12051.84
2025-04-07 17:57:15.748149,B2B,Smartphone,4,1506.48,6025.92
2025-01-04 17:57:15.748149,B2B,Mouse,8,1506.48,12051.84
2024-09-10 17:57:15.748149,B2C,Monitor,9,1506.48,13558.32
2025-05-11 17:57:15.748149,B2B,Smartphone,3,1506.48,4519.4400000000005
2025-04-29 17:57:15.748149,B2C,Monitor,3,1506.48,4519.4400000000005
2024-08-12 17:57:15.748149,B2C,Notebook,2,1506.48,3012.96
2025-03-08 17:57:15.748149,B2B,Smartphone,3,1506.48,4519.4400000000005
2025-03-29 17:57:15.748149,B2B,Mouse,3,1506.48,4519.4400000000005
2025-03-10 17:57:15.748149,B2C,Smartphone,5,1506.48,7532.4
2024-10-02 17:57:15.748149,B2B,Smartphone,5,1506.48,7532.4
2024-11-22 17:57:15.748149,B2C,Smartphone,2,1506.48,3012.96
2024-08-28 17:57:15.748149,B2C,Smartphone,6,1506.48,9038.880000000001
2024-10-17 17:57:15.748149,B2C,Monitor,5,1506.48,7532.4
2025-01-27 17:57:15.748149,B2C,Notebook,6,1506.48,9038.880000000001
2024-11-03 17:57:15.748149,B2C,Teclado,1,1506.48,1506.48
2025-02-27 17:57:15.748149,B2B,Smartphone,5,1506.48,7532.4
2024-09-27 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2025-07-16 17:57:15.748149,B2C,Smartphone,2,1506.48,3012.96
2024-11-27 17:57:15.748149,B2C,Mouse,1,1506.48,1506.48
2024-12-14 17:57:15.748149,B2B,Monitor,9,1506.48,13558.32
2024-08-27 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2025-06-19 17:57:15.748149,B2C,Teclado,9,1506.48,13558.32
2025-06-09 17:57:15.748149,B2B,Notebook,6,1506.48,9038.880000000001
2025-02-18 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2025-01-31 17:57:15.748149,B2B,Mouse,1,1506.48,1506.48
2024-11-09 17:57:15.748149,B2C,Notebook,4,1506.48,6025.92
2025-01-29 17:57:15.748149,B2B,Teclado,1,1506.48,1506.48
2025-02-13 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2025-06-17 17:57:15.748149,B2B,Mouse,1,1506.48,1506.48
2024-08-08 17:57:15.748149,B2B,Notebook,3,1506.48,4519.4400000000005
2025-06-13 17:57:15.748149,B2C,Monitor,4,1506.48,6025.92
2024-12-06 17:57:15.748149,B2B,Notebook,8,1506.48,12051.84
2024-09-21 17:57:15.748149,B2C,Monitor,6,1506.48,9038.880000000001
2025-03-29 17:57:15.748149,B2B,Teclado,7,1506.48,10545.36
2024-10-04 17:57:15.748149,B2C,Smartphone,8,1506.48,12051.84
2025-03-25 17:57:15.748149,B2B,Notebook,2,1506.48,3012.96
2025-07-17 17:57:15.748149,B2C,Mouse,8,1506.48,12051.84
2024-09-12 17:57:15.748149,B2B,Teclado,3,1506.48,4519.4400000000005
2025-02-21 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2024-11-06 17:57:15.748149,B2B,Mouse,3,1506.48,4519.4400000000005
2025-05-10 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2024-09-25 17:57:15.748149,B2C,Monitor,2,1506.48,3012.96
2025-07-24 17:57:15.748149,B2C,Notebook,6,1506.48,9038.880000000001
2024-12-08 17:57:15.748149,B2B,Notebook,3,1506.48,4519.4400000000005
2024-11-15 17:57:15.748149,B2C,Notebook,3,1506.48,4519.4400000000005
2024-08-26 17:57:15.748149,B2B,Teclado,9,1506.48,13558.32
2025-06-15 17:57:15.748149,B2C,Notebook,7,1506.48,10545.36
2024-09-01 17:57:15.748149,B2B,Mouse,5,1506.48,7532.4
2025-05-07 17:57:15.748149,B2C,Monitor,7,1506.48,10545.36
2024-11-16 17:57:15.748149,B2B,Monitor,9,1506.48,13558.32
2025-07-03 17:57:15.748149,B2B,Notebook,1,1506.48,1506.48
2025-01-13 17:57:15.748149,B2C,Teclado,7,1506.48,10545.36
2025-05-18 17:57:15.748149,B2B,Teclado,6,1506.48,9038.880000000001
2025-06-18 17:57:15.748149,B2B,Mouse,9,1506.48,13558.32
2024-08-12 17:57:15.748149,B2C,Notebook,1,1506.48,1506.48
2025-08-05 17:57:15.748149,B2B,Monitor,4,1506.48,6025.92
2025-06-14 17:57:15.748149,B2B,Teclado,9,1506.48,13558.32
2025-04-23 17:57:15.748149,B2B,Notebook,4,1506.48,6025.92
2024-11-20 17:57:15.748149,B2C,Teclado,3,1506.48,4519.4400000000005
2024-10-01 17:57:15.748149,B2B,Teclado,9,1506.48,13558.32
2025-01-28 17:57:15.748149,B2C,Monitor,2,1506.48,3012.96
2025-01-01 17:57:15.748149,B2B,Smartphone,4,1506.48,6025.92
2025-06-24 17:57:15.748149,B2B,Mouse,6,1506.48,9038.880000000001
2025-02-26 17:57:15.748149,B2B,Mouse,2,1506.48,3012.96
2025-01-17 17:57:15.748149,B2C,Monitor,8,1506.48,12051.84
2024-11-10 17:57:15.748149,B2B,Teclado,8,1506.48,12051.84
